Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
The Reincarnated Assassin Is a Swordmaster,7.32,790,6227,3017,18,Publishing,[]
"""Bungaku Shoujo"" Minarai",7.33,120,19645,607,4,Finished,[]
Ebisu-san to Hotei-san,7.33,2248,4897,3945,25,Finished,[]
Honoo no Tenkousei,7.33,484,8719,2003,37,Finished,[Shounen]
Ookami Lover,7.33,2171,5170,3721,8,Finished,[Shoujo]
Luckyâ˜†Star: Comic Ã  la carte,7.33,373,12591,1227,15,Finished,[]
"Kiben Gakuha, Yotsuya-senpai no Kaidan.",7.33,2051,3199,6229,52,Finished,[Shounen]
Hyakunen Renbo,7.33,1680,5084,3782,11,Finished,[Shoujo]
Air Koi,7.33,1836,5140,3737,7,Finished,[Shoujo]
Nurarihyon no Mago,7.33,174,16582,807,18,Finished,[Shounen]
Dantalian no Shoka,7.33,1122,5026,3835,34,Finished,[Shounen]
Song of the Cloud,7.33,604,6846,2703,10,Finished,[]
G-senjou no Maou Comic Anthology (The Devil on G-String Comic Anthology),7.33,152,13321,1129,24,Finished,[]
Sonogo no Crows (Crows: The Aftermath),7.33,763,9758,1743,2,Finished,[Shounen]
Maga-Tsuki,7.33,13082,501,33782,384,Finished,[Shounen]
Deep Clear,7.33,953,9334,1839,14,Finished,[Shoujo]
Waratte! Sotomura-san (Smile! Sotomura-san),7.33,1765,3441,5793,45,Finished,[]
Hachimitsu ni Hatsukoi,7.33,1471,3448,5781,35,Finished,[Shoujo]
Wild Wing,7.33,717,11694,1353,6,Finished,[Shoujo]
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite (About if I Die of Discarded Virgin),7.33,8848,1027,17455,143,Finished,[]
GosickS,7.33,135,16820,790,5,Finished,[Shounen]
Nekoka Danshi no Shitsukekata,7.33,1782,4395,4432,19,Finished,[]
Kendo Shitouden Cestvs,7.33,231,14442,1005,4,Publishing,[Seinen]
Wagatsuma-san wa Ore no Yome (My Wife Is Wagatsuma-san),7.33,8745,734,23686,381,Finished,[Shounen]
Uso Kano,7.33,1006,4556,4273,22,Finished,[Shoujo]
K Side:Black & White,7.33,256,9654,1761,5,Finished,[]
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",7.33,678,5659,3359,20,Finished,[]
"Jinrou e no Tensei, Maou no Fukukan (Der Werwolf: The Annals of Veight)",7.33,282,12463,1246,11,Publishing,[]
10-manbun no 1,7.33,385,10791,1519,12,Finished,[Shoujo]
Sousei no Onmyouji: Tenen Jakko,7.33,117,19156,636,4,Finished,[Shounen]
Tomodachi wo Tsukurou.,7.33,895,6709,2775,28,Finished,[]
Inai Boku wa Hotarumachi ni Iru,7.33,296,14110,1041,8,Finished,[Josei]
Yakumo-san wa Ezuke ga Shitai. (Beauty and the Feast),7.33,4917,1138,15922,137,Finished,[Seinen]
Misoshiru de Kanpai!,7.33,880,5207,3692,29,Finished,[Shounen]
Kimi ga Shinu Natsu ni (In the summer when you die),7.33,1021,6229,3016,26,Finished,[Shounen]
ChÃ¤oS;Child: ChildrenS Collapse,7.33,176,19210,633,3,Finished,[Shounen]
"Owari Nochi, Asanagi-kurashi. (Giant Spider & Me: A Post-Apocalyptic Tale)",7.33,1036,6203,3029,39,Finished,[]
Ohimesama no Himitsu (Secret of the Princess),7.33,2631,3837,5167,29,Finished,[]
Aku no Musume,7.33,182,13741,1082,39,Finished,[]
Clockwork Planet,7.33,3180,1784,10734,141,Finished,[Shounen]
Suzumiya Haruhi Series: Atezuppo Numbers,7.33,203,17267,754,4,Finished,[]
Umi no Cradle (The Cradle of The Sea),7.33,1032,5558,3438,40,Finished,[Seinen]
Vanilla Fiction,7.33,180,18611,667,26,Finished,[Shounen]
Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat,7.33,8708,662,26031,205,Publishing,[]
Sayonara Piano Sonata: Encore Pieces,7.33,111,27788,303,0,Finished,[]
Net-juu no Susume (Recommendation of The Internet Enhancement),7.33,666,3306,6055,37,Discontinued,[]
Naruto Jinraiden: Okami no Naku Hi,7.33,608,8213,2170,19,Finished,[Shounen]
Tsurezurebiyori (Our Wonderful Days),7.33,3193,2090,9229,98,Finished,[]
Tenchi Souzou Design-bu (HeavenS Design Team),7.33,452,6209,3026,24,Publishing,[Seinen]
Sanju Mariko,7.33,132,16579,807,4,Finished,[Josei]
"Nanoni, Chigira-kun ga Amasugiru. (And Yet, You Are So Sweet)",7.33,896,4268,4574,35,Publishing,[Shoujo]
"Oshiete Kudasai, Fujishima-san! (Over-Cumming WriterS Block)",7.33,508,8766,1990,29,Publishing,[]
Kono Subarashii Sekai ni Shukufuku wo! Megumin Anthology,7.33,273,16033,850,4,Finished,[]
Achira Kochira Bokura (Here and There and Us),7.33,151,21857,500,8,Finished,[Seinen]
Tama no Gohoubi,7.33,2258,3385,5895,58,Finished,[Shoujo]
Tokyo Ghoul:re: Quest,7.33,493,8191,2179,119,Finished,[]
Dororo to Hyakkimaru Den (The Legend of Dororo and Hyakkimaru),7.33,671,5329,3586,57,Publishing,[Seinen]
Heroine Hajimemashita. (Heroine for Hire),7.33,1586,3660,5426,31,Finished,[Shoujo]
Dokgo 2,7.33,395,14083,1045,7,Finished,[]
Tong,7.33,345,15476,903,13,Finished,[]
Ameagari no Bokura ni Tsuite (Stay By My Side After the Rain),7.33,384,11734,1347,9,Finished,[]
Shoujo Manga Shujinkou x Rival-san,7.33,1751,4158,4749,50,Finished,[Shounen]
"Ijimeru Aitsu ga Warui no ka, Ijimerareta Boku ga Warui no ka? (Is It My Fault That I Got Bullied?)",7.33,3704,2723,7285,63,Finished,[]
The Love Doctor,7.33,351,16210,835,11,Finished,[]
Shuumatsu Touring (Touring After the Apocalypse),7.33,303,8182,2181,19,Publishing,[Seinen]
Seiyuu Radio no Uraomote,7.33,437,8123,2201,12,Finished,[Seinen]
Inazuma to Romance (Lightning and Romance),7.33,377,8118,2205,21,Publishing,[Shoujo]
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi. (You Were Experienced, I Was Not: Our Dating Story)",7.33,548,5438,3511,75,Publishing,[]
Kingdom Hearts,7.33,12057,742,23266,768,Finished,[Shounen]
Platinum Garden,7.33,716,6969,2649,11,Finished,[]
Slayers: Medieval Mayhem,7.33,512,13437,1114,8,Finished,[Shounen]
Souten no Koumori,7.33,2399,4563,4267,12,Finished,[Shounen]
Koukaku Kidoutai 1.5: Human-Error Processer (The Ghost in the Shell 1.5),7.33,3009,2383,8219,63,Finished,[Seinen]
Gakkou no Ojikan,7.33,1982,4069,4865,17,Finished,[Shoujo]
Mei-chan no Shitsuji,7.33,1851,3431,5813,48,Finished,[Shoujo]
Otogi Matsuri (Otogi Matsuri: Dark Offering),7.33,1014,6310,2973,17,Finished,[Seinen]
Megane Ouji (Four-Eyed Prince),7.33,746,8788,1981,16,Finished,[Shoujo]
Do You Want to Try?,7.33,3005,3532,5618,57,Finished,[Shoujo]
Momoiro Heaven! (Peach Heaven),7.33,3398,1838,10434,62,Finished,[Shoujo]
Mimi wo Sumaseba,7.33,969,7481,2434,27,Finished,[Shoujo]
